みくみくにしてあげる♪,千本桜,メルト,マトリョシカ,ワールズエンド・ダンスホール,モザイクロール,初音ミクの消失（LONG VERSION）,ワールドイズマイン,六兆年と一夜物語,ゴーストルール,ロミオとシンデレラ,脳漿炸裂ガール,裏表ラバーズ,ダブルラリアット,ドーナツホール,ブラック★ロックシューター,パンダヒーロー,ローリンガール,カゲロウデイズ,天ノ弱,砂の惑星,ロストワンの号哭,いーあるふぁんくらぶ,アスノヨゾラ哨戒班,FREELY TOMORROW,エイリアンエイリアン,ウミユリ海底譚,結ンデ開イテ羅刹ト骸,卑怯戦隊うろたんだー,チルドレンレコード,ハッピーシンセサイザ,ECHO,弱虫モンブラン,ダンスロボットダンス,ロキ,Ievan Polkka,セツナトリップ,アンハッピーリフレイン,ロスタイムメモリー,ルカルカ★ナイトフィーバー,＊ハロー、プラネット。,夜咄ディセイブ,インビジブル,メランコリック,夜明けと蛍,チュルリラ・チュルリラ・ダッダッダ！,パラジクロロベンゼン,シャルル,悪ノ召使,からくりピエロ,メリュー,恋は戦争,ビバハピ,東京テディベア,Just Be Friends,アンノウン・マザーグース,脱法ロック,深海少女,1925,ギガンティックO.T.N,太陽系デスコ,如月アテンション,サマータイムレコード,イカサマライフゲイム,グリーンライツ・セレナーデ,こちら、幸福安心委員会です。,歌に形はないけれど,桜ノ雨,人生リセットボタン,ヒバナ,妄想税,Bad ∞ End ∞ Night,ヒビカセ,地球最後の告白を,paranoia,アウターサイエンス,むかしむかしのきょうのぼく,え？あぁ、そう。,初めての恋が終わる時,Calc.,右肩の蝶(レン ver.),気まぐれメルシィ,妄想感傷代償連盟,サイハテ,テオ,二息歩行,はやくそれになりたい！,透明エレジー,想像フォレスト,すろぉもぉしょん,コノハの世界事情,ストリーミングハート,サンドリヨン（Cendrillon）,ヘッドフォンアクター,ぼくらの１６ｂｉｔ戦争,ハジメテノオト,Nyanyanyanyanyanyanya!,アイラ,アルカリレットウセイ,リンちゃんなう！
初音ミク,初音ミク,初音ミク,初音ミク・GUMI,初音ミク・巡音ルカ,GUMI,初音ミク,初音ミク,IA,初音ミク,初音ミク,初音ミク・GUMI,初音ミク,巡音ルカ,GUMI,初音ミク,GUMI,初音ミク,初音ミク,GUMI,初音ミク,鏡音リン,GUMI・鏡音リン,IA,初音ミク,初音ミク,初音ミク,初音ミク,KAITO・MEIKO・初音ミク,IA,巡音ルカ・GUMI,GUMI,GUMI,初音ミク,鏡音リン,初音ミク,GUMI,初音ミク,IA,巡音ルカ,初音ミク,IA,GUMI・鏡音リン,鏡音リン,初音ミク,結月ゆかり,鏡音レン,flower,鏡音レン,初音ミク,初音ミク,初音ミク,初音ミク,鏡音リン,巡音ルカ,初音ミク,鏡音レン,初音ミク,初音ミク,鏡音レン,初音ミク,IA,IA,GUMI,初音ミク,初音ミク,初音ミク,初音ミク,GUMI,初音ミク,初音ミク,初音ミク・鏡音リン・鏡音レン・巡音ルカ・KAITO・MEIKO・GUMI・神威がくぽ,初音ミク,GUMI,初音ミク,IA,初音ミク,初音ミク,初音ミク,初音ミク,鏡音レン,初音ミク,初音ミク,初音ミク,初音ミク,初音ミク,音街ウナ,GUMI,IA,初音ミク,初音ミク・IA,初音ミク,初音ミク・KAITO,IA,GUMI,初音ミク,初音ミク,GUMI,初音ミク,初音ミク・巡音ルカ
2007/09/20 1:22,2011/09/17 19:00,2007/12/07 20:46,2010/08/19 22:25,2010/05/18 10:46,2010/07/15 20:17,2008/04/08 20:56,2008/05/31 17:20,2012/04/11 19:55,2016/01/08 20:00,2009/04/06 5:56,2012/10/19 20:00,2009/08/30 5:56,2009/02/05 6:18,2013/10/28 19:22,2008/06/13 22:58,2011/01/23 16:32,2010/02/14 20:00,2011/09/30 7:06,2011/05/28 21:00,2017/07/21 17:00,2013/03/04 19:59,2012/08/15 20:07,2014/08/19 20:37,2011/07/31 14:36,2016/04/05 19:06,2014/02/24 19:05,2009/07/06 2:24,2007/11/28 6:09,2012/07/21 17:01,2010/11/22 20:10,2014/10/08 13:39,2010/04/15 1:32,2016/12/06 19:45,2018/02/27 20:00,2007/09/04 12:55,2012/05/03 20:01,2011/05/02 19:00,2013/03/30 2:27,2009/02/12 1:46,2009/05/24 8:44,2013/02/17 21:03,2011/12/20 19:00,2010/04/19 22:43,2014/11/11 19:07,2016/02/22 19:00,2009/09/19 5:55,2016/10/12 20:00,2008/04/29 1:43,2011/07/15 20:01,2015/05/12 19:00,2008/02/22 2:23,2013/07/26 16:23,2011/08/14 20:59,2009/07/04 5:11,2017/08/22 17:00,2016/06/19 19:00,2010/09/01 11:11,2009/10/05 21:42,2012/12/08 19:00,2017/01/20 21:12,2012/05/27 0:08,2013/09/02 17:18,2012/02/08 22:37,2018/07/06 19:00,2012/06/15 16:26,2008/01/20 5:34,2008/02/23 2:23,2011/11/07 23:33,2017/08/04 19:00,2013/09/07 20:00,2012/01/15 18:30,2014/09/24 0:00,2012/06/26 19:01,2012/03/13 19:03,2013/08/31 17:00,2010/11/25 3:27,2010/03/22 21:01,2008/12/12 20:13,2010/09/09 20:11,2009/05/03 4:52,2016/06/03 20:00,2016/11/18 19:02,2008/01/16 18:45,2017/07/08 19:00,2009/08/28 1:17,2017/05/11 19:00,2013/02/19 19:40,2012/02/01 8:53,2014/05/27 18:56,2012/03/30 0:01,2014/03/21 21:27,2008/08/25 21:10,2011/12/15 7:00,2009/07/12 9:48,2007/10/14 6:50,2010/07/25 15:47,2015/07/08 19:00,2016/11/25 20:00,2011/12/27 20:00
sm1097445,sm15630734,sm1715919,sm11809611,sm10759623,sm11398357,sm2937784,sm3504435,sm17520775,sm27965309,sm6666016,sm19133907,sm8082467,nm6049209,sm22138447,sm3645817,sm13386216,sm9714351,sm15751190,sm14583646,sm31606995,sm20244918,sm18623327,sm24276234,sm15172108,sm28576299,sm22960446,sm7550182,sm1639267,sm18406343,sm12825985,sm24643818,sm10393864,sm30177801,sm32798041,sm982882,sm17720979,sm14330479,sm20470051,sm6119955,sm7138245,sm20116702,sm16474954,sm10444862,sm24892241,sm28276238,sm8269164,sm29822304,sm3133304,sm15022913,sm26238908,sm2397344,sm21443197,sm15308214,sm7528841,sm31791630,sm29081909,sm11956364,sm8430328,sm19532707,sm30469574,sm17930619,sm21737751,sm16915126,sm33480697,sm18100389,sm2085047,sm2406770,sm16110005,sm31685272,sm21764582,sm16702635,sm24536934,sm18198019,sm17239967,sm21720819,sm12850213,sm10122021,sm5524166,sm12050471,sm6928368,sm28974414,sm30067009,sm2053548,sm31533883,sm8061508,sm31192903,sm20132624,sm16846374,sm23648996,sm17397763,sm23144598,sm4410647,sm16429826,sm7610111,sm1274898,sm11509720,sm26661454,sm30105817,sm16539814
ika,黒うさP,ryo (supercell),ハチ,wowaka,DECO*27,cosMo@暴走P,ryo (supercell),kemu,DECO*27,doriko,れるりり,wowaka,アゴアニキ,ハチ,ryo (supercell),ハチ,wowaka,じん（自然の敵P）,164,ハチ,Neru,みきとP,Orangestar,Mitchie M,ナユタン星人,n-buna,ハチ,シンP,じん（自然の敵P）,EasyPop,Crusher-P,DECO*27,ナユタン星人,みきとP,Otomania,Last Note.,wowaka,じん（自然の敵P）,samfree,ささくれP,じん（自然の敵P）,kemu,Junky,n-buna（ナブナ）,和田たけあき（くらげP）,オワタP,バルーン,悪ノP,40mP,n-buna,ryo (supercell),Mitchie M,Neru,Dixie Flatline,wowaka,Neru,ゆうゆ,とみー（ショコラビット）,ギガP,ナユタン星人,じん（自然の敵P）,じん（自然の敵P）,kemu,Omoi（Sakurai・Kimura）,うたたP,doriko,halyosy,kemu,DECO*27,DECO*27,ひとしずくP・やま△,ギガP,kemu,めざめP,じん（自然の敵P）,DECO*27,蝶々P,ryo,ジミーサムP,のりP,八王子P,DECO*27,小林オニキス,Omoi,DECO*27,キノシタ,n-buna,じん（自然の敵P）,ピノキオピー,じん（自然の敵P）,DECO*27,シグナルP,じん（自然の敵P）,ささくれP,malo,daniwell,n-buna,かいりきベア,sezu・オワタP
ニコニコ1,ニコニコ2,ニコニコ3,ニコニコ4,ニコニコ5,ニコニコ6,ニコニコ7,ニコニコ8,ニコニコ9,ニコニコ10,ニコニコ11,ニコニコ12,ニコニコ13,ニコニコ14,ニコニコ15,ニコニコ16,ニコニコ17,ニコニコ18,ニコニコ19,ニコニコ20,ニコニコ21,ニコニコ22,ニコニコ23,ニコニコ24,ニコニコ25,ニコニコ26,ニコニコ27,ニコニコ28,ニコニコ29,ニコニコ30,ニコニコ31,ニコニコ32,ニコニコ33,ニコニコ34,ニコニコ35,ニコニコ36,ニコニコ37,ニコニコ38,ニコニコ39,ニコニコ40,ニコニコ41,ニコニコ42,ニコニコ43,ニコニコ44,ニコニコ45,ニコニコ46,ニコニコ47,ニコニコ48,ニコニコ49,ニコニコ50,ニコニコ51,ニコニコ52,ニコニコ53,ニコニコ54,ニコニコ55,ニコニコ56,ニコニコ57,ニコニコ58,ニコニコ59,ニコニコ60,ニコニコ61,ニコニコ62,ニコニコ63,ニコニコ64,ニコニコ65,ニコニコ66,ニコニコ67,ニコニコ68,ニコニコ69,ニコニコ70,ニコニコ71,ニコニコ72,ニコニコ73,ニコニコ74,ニコニコ75,ニコニコ76,ニコニコ77,ニコニコ78,ニコニコ79,ニコニコ80,ニコニコ81,ニコニコ82,ニコニコ83,ニコニコ84,ニコニコ85,ニコニコ86,ニコニコ87,ニコニコ88,ニコニコ89,ニコニコ90,ニコニコ91,ニコニコ92,ニコニコ93,ニコニコ94,ニコニコ95,ニコニコ96,ニコニコ97,ニコニコ98,ニコニコ99,ニコニコ100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
科学の限界を超えて私は来たんだよ,大胆不敵にハイカラ革命,朝　目が覚めて,考え過ぎのメッセージ,冗談混じりの境界線上,とある言葉が君に突き刺さり,---深刻なエラーが発生しました---,世界で一番おひめさま,名も無い時代の集落の 名も無い幼い少年の,どうだっていい言ことを　嘘って吐いて戻れない,私の恋を悲劇のジュリエットにしないで,自問自答　無限苦言　ヤバイ　挫傷暗礁に乗り上げている,良いこと尽くめ の夢から覚めた私の脳内環境は，,半径85センチが　この手の届く距離,いつからこんなに大きな思い出せない記憶があったか,ブラックロックシューター,廃材にパイプ錆びた車輪　銘々に狂った絵画の市,ロンリーガールはいつまでも　届かない夢見て,8月15日の午後12時半くらいのこと,僕がずっと前から,何もない砂場飛び交う雷鳴,刃渡り数センチの不信感が,呜！哈！呜！哈！呜！哈！呜！哈！,気分次第です僕は 敵を選んで戦う少年,心ごと体ごと 全部記憶の中の幻,ゆれる街灯 篠突く雨,待って　わかってよ,さあさあ 今宵も無礼講,大きく輝く卑怯の二文字,白いイヤホンを耳にあて 少しニヤッとして合図する,ハッピーシンセサイザ 君の 胸の奥まで,The clock stopped ticking forever ago,ありったけの想いは　これだけの言葉に,DANCE!,さあ 眠眠打破,あ らっつぁっつぁ,1、2、準備おっけー？　3、4で蹴っ飛ばして,散弾銃とテレキャスター　言葉の整列、アンハッピー,数年経っても影は消えない　感情ばかりが募って行く,ダメダメよ☆,シェルターのおと ひとりめがさめた,“嘘をつくのは得意なんだ”,とんでもない現象 どうやら透明人間になりました,全然つかめないきみのこと,淡い月に見とれてしまうから,ザッと数えて四十名　みんなが目を光らせる,ボクは何の為に歌う？,さよならはあなたから言った　それなのに頬を濡らしてしまうの,君は王女 僕は召使　運命分かつ 哀れな双子,待ち合わせは2時間前で,夕陽が落ちる様に胸が染まるので,もう行き場がないわ この恋の熱量,「アア・・・マイクOK いっくよー！」,父さん母さん 今までごめん,Just be friends All we gotta do,あたしが愛を語るのなら その眼には如何、映像る？,首吊る前に アンプを繋いで,悲しみの海に沈んだ私 目を開けるのも億劫,いたいけなモーション,存外見掛け倒しな虚勢張ってるロマンス,あの一等星のさんざめく光で,wow 行き先はどうしよう ちょっと私服じゃマズイかな,昨日も今日も晴天で 入道雲を見ていた,『明日の午後は雨が降る』と ぽつり,照らし出して！ グリーンライツ,どうして みんなが 幸せなの？,薄紅の時を彩る花びら,それぞれの場所へ旅立っても,目が覚めたら 人生リセットボタンが そこに転がってた,コンコン 優しくノックして,あの子もいいな あの子もいいな,深い深い森の奥に 迷い込んだ村の娘,真夜中に告ぐ 音の警告 協和音に酔う 午前零時,そして君が知らずに 幸せな灰になった後で,世界の隅っこで ちぎれた心と声,矮小く惨めに生きた生命が,ちょっとだけお付き合い願います,建前だけの感情論で全てを量ろうなんて、,はじめてのキスは涙の味がした,すれ違いは結局運命で 全ては筋書き通りだって,（右肩に紫蝶々 キスをしたこの部屋の隅で,ほらほらまたはじまった,言っちゃった,むこうはどんな所なんだろうね？,考える,「これは僕の進化の過程の1ページ目です。」,ホップステップ ジャンプ&ジャンプ,最上階に君が一人 揺れる影が ずっと ずっと,夏風がノックする窓を開けてみると,すろぉもぉしょん ゆっくり変わってゆく,意味と夢と命を集めて 作られてしまった身体は,あれやこれや言いますが どうか探してみせて,朝まで踊る夢だけ見せて,その日は随分と平凡で,どうしてこんな事になったんだ？,初めての音は なんでしたか？,Nyanyanyanyanya Nyanyanyanyanya,白く映った雲の藍に,ココロぽつり 張り詰め プツリ,リンちゃんなう！ リンちゃんなう！！ リンちゃんリンちゃんリンちゃんなう！！！
ネギはついてないけど出来れば欲しいな,磊々落々 反戦国家,真っ先に思い浮かぶ　君のこと,誰に届くかも知らないで,階段のそのまた向こう,傷口から漏れ出す液を「愛」と形容してみた,,そういう扱い　心得てよね,誰も知らない おとぎばなし,時効なんてやってこない　奪ったように奪われて,ここから連れ出して…,前頭葉から新たな痛みを共有したがる情報バイパス,ラブという得体の知れないものに侵されてしまいまして，それからは。,今から振り回しますので　離れていてください,どうにも憶えてないのを　ひとつ確かに憶えてるんだな,何処へ行ったの？,黄色いダーツ盤に注射の針と　ホームベースに縫糸の手,騒ぐ頭の中を掻き回して、掻き回して。,天気が良い,思ってる事を話そうか,しょうもない音で掠れた生命,挙げ句の果て 静脈を刺しちゃって,呜！哈！呜！哈！呜！哈！呜！哈！,叶えたい未来も無くて 夢に描かれるのを待ってた,本当の愛情が 指先から流れ出した,振れる感情 感覚のテレパス,何でもないから僕の歌を笑わないで,獄卒衆すら巻き込んで 宴の瀬にて成り下がるは,あらゆる手を尽くして勝ちに行くのさ,染み込んだこの温度が ドアをノックした瞬間に,届くようなメロディ 奏でるよ,How long have I been up? IDK :-(,愛したけど重いわ　それだけのことなの？,自在のステップトゥステップだって,昼夜逆転 VOX AC30W,や りびだびりん,全部さ、フイにしちゃったっていいじゃん？,単身、都会の町並み　撃ち込んだ音、嫌いですか？,踞って　一人　描いていた,,ピピピピ とくにいじょうないようだ,“でも、本音は少し苦手でさ”,万々歳は飲み込んで,全然しらないうちに,暗い足元も見えずに,どんな小さな罪も　見逃さないように,パラジクロロベンゼン,そうやって昨日の事も消してしまうなら　もういいよ　笑って,君を守る その為ならば　僕は悪にだってなってやる,此処に独り　それが答えでしょ,耳鳴りのような鼓動を隠して,,,膝を震わせ 親指しゃぶる,Just be friends It's time to say goodbye,詞は有り余るばかり 無垢の音が流れてく,ストラト背負って クラプトン弾いて,このままどこまでも堕ちて行き 誰にも見つけられないのかな,振り切れるテンション,組み替えちゃって遺伝子 オンリーロンリーエマージェンシー,あなたとダンスを踊ろうか,あぁ、何もかも 放り出しちゃった午後,怠いくらいの快晴だ 徐に目を閉じて,耳鳴り 啓示 そんな何か 『気をつけて』,広がる未来を きっと いつか,この世界のこと 聞きたいって、知りたいって,ひらひら舞う光の中,友達だ 聞くまでもないじゃん,目眩 目眩 象る 念願の 強くてニューゲーム,乗り込め ココロの奪還戦,頭の中で イイコトしてる,色あせた手紙を持って 夜の館に辿り着く…,あなたが触れる 光 増す熱 指先に踊らされ,僕は今更 君が好きだって,どうして こんなに 空っぽな言葉の雨,死んではドアを叩くでしょう,ちょっとだけ(？)後ろ向きなこの歌,そんなのはお門違い、笑わせないでよね,まるでドラマみたいな恋,悲しみを紛らわせるほど 僕は強くないから,切ないと云う感情を知る 響くピアノ…）,お得意の自己弁護 言い訳,もう一時だけ隣りに居たい,無事に着いたら 便りでも欲しいよ,このままいつまで 隠しておけるかな,,ネバネバギブアップ 1 2 3 で テッテレー！,「ずっと、僕らの愛はもう見つかりはしないでしょう」,何処からか迷い込んだ鳥の声,,終わった命を蒸し返す機械らしい,ウソと本音の間 上手く隠しといたんで,時計の鐘が解く魔法,当たり障り無い一日だった,誰も教えちゃくれないんだ。,あなたの 初めての音は…,Nyanyanyanyanyanyanya Nyanyanyanyanyanyanyanya,揺れる、揺れてく君の背,四六時 背伸び 徒に病み,リンちゃんなう！ リンちゃんなう！！ リンちゃんリンちゃんリンちゃんなう！！！
,日の丸印の二輪車転がし,思い切って　前髪を切った,きっと私はいつでもそう,全然良いこともないし、ねえ,,「歌いたい・・・・まだ・・・歌いたい・・・」,,産まれついた時から　忌いみ子 鬼の子として,,そんな気分よ,収束できない　不条理　スク水吐瀉物噴出　妄想デフラグ,どうしようもなく2つに裂けた心内環境を,,もう一回何回やったって思い出すのはその顔だ,聞こえますか？,,,病気になりそうなほど眩しい日差しの中,友達に戻れたら,今後千年草も生えない　砂の惑星さ,病弱な愛が飛び出すもんで,,そのくせ未来が怖くて 明日を嫌って過去に願って,,迷子のふたりはコンタクト,,純真無垢故質の悪い 悪虐非道に御座います,立ち上がれ「うろたんだー」　僕らの戦士よ,溢れそうになるよ,,I can't get a grip， But I can't let go,,プログラムの範疇さ,,らば りったん りんだん,どうせ何が変わるわけじゃあるまいし　邁進！　発射オーライ、未来！,,炎天直下　坂道の上　滲んだ僕らが歩いていた,右から左へと言葉が流れる,ポストのなかは きっとカラッポだ,“可笑しいね、いつだって”,ああでもないこうでもない原因推測をぶちまけて,ココロ奪われるなんてこと,,ソッと息を潜めて　ジッと辺り見渡すの,ただ意味も理解せずに歌う,,,街ゆく人　流れる雲,,灰色の雲 モノクロの喧噪,ミニスカートで襲撃だ！（キュン） ギャップ萌えして衝撃だ！（キュン）,兄さん姉さん それじゃあまたね,Just be friends All we gotta do,あなたが愛に塗れるまで その色は幻だ,テレキャス持った 学生をシバいて,,意外、意外 いけるものね,トゥケトゥケな電波に乗った感情論,我が太陽系の鼓動に合わせて,wow 背伸びしたヒールじゃ ちょっと踏みだしにくいからさ,「それ」はどうも簡単に 思い出せやしない様で,,キミを照らすまで,水辺の公園で みんなが耳を澄ませて,僕は笑えたはず,十人十色に輝いた日々が,,妄想ばかりが フラッシュして,あなたはそれで満足ですか？,,,,,小さな主は見兼ねる　「嫌な話だ」,鏡に映る昨日の僕は 今日の僕にとてもよく似ていて,だけどたまには楽しいことも必要だと思うの,見計らったように発車のベルが鳴った,弾き出した答えの全てが 一つ二つ犠牲を伴って,,「でもね」「だって」,いやいやまさか 延長は鬱雑い,,帰りたくなった時 さよならは言えるかな,抱きしめたいから 2本足で歩く,,,読みかけの本を置き 「何処から来たんだい」と笑う,コンビニよって 弁当買って,【これは彼の昔のお話】,,曖昧な指誘う階段,暇つぶしに聞いてたラジオから,何がセイギだ 何がギセイだ,ワタシにとっては これがそう,,,ココロ肯定 出来ず 擦りキズ,リンちゃんなう！ リンちゃんなう！！ リンちゃんリンちゃんリンちゃんなう！！！
